n	ctrl	filename	algo_name	expanded_nodes	iteration_count	max_size	time	count_steps	steps
4	50	NSQ-n4-ctrl50_20250515-003153.336720979.inp	PFS_PE with eps = 1.05; pFocal = 0.6, cBound = 2	30	13	31	9.9e-05	11	ULLDDLUURUL
4	50	NSQ-n4-ctrl50_20250515-003153.336720979.inp	Probabilistic Focal Search with eps = 1.05; pFocal = 0.6	30	13	18	5e-05	11	ULLDDLUURUL
4	50	NSQ-n4-ctrl50_20250515-003153.336720979.inp	PFS_VDMPE with eps = 1.05; pFocal = 0.6	30	13	13	8.4e-05	11	ULLDDLUURUL
4	50	NSQ-n4-ctrl50_20250515-003153.336720979.inp	VDM's PE	30	13	12	5e-05	11	ULLDDLUURUL
4	50	NSQ-n4-ctrl50_20250515-003153.336720979.inp	AStar with Partial Expansion with C = 2.000000	30	13	30	4.7e-05	11	ULLDDLUURUL
4	50	NSQ-n4-ctrl50_20250515-003153.336720979.inp	Focal Search with eps = 1.050000	30	13	18	4.7e-05	11	ULLDDLUURUL
4	50	NSQ-n4-ctrl50_20250515-003153.339073105.inp	PFS_PE with eps = 1.05; pFocal = 0.6, cBound = 2	76	36	97	0.000221	22	RRDRUULDDLLUUURRRDLLUL
4	50	NSQ-n4-ctrl50_20250515-003153.339073105.inp	Probabilistic Focal Search with eps = 1.05; pFocal = 0.6	95	46	68	0.0002	22	RRDRUULDDLLUUURRRDLLUL
4	50	NSQ-n4-ctrl50_20250515-003153.339073105.inp	PFS_VDMPE with eps = 1.05; pFocal = 0.6	66	32	41	0.000242	22	RRDRUULDDLLUUURRRDLLUL
4	50	NSQ-n4-ctrl50_20250515-003153.339073105.inp	VDM's PE	155	75	47	0.000354	22	RRDRUULDDLLUUURRRDLLUL
4	50	NSQ-n4-ctrl50_20250515-003153.339073105.inp	AStar with Partial Expansion with C = 2.000000	155	75	155	0.000347	22	RRDRUULDDLLUUURRRDLLUL
4	50	NSQ-n4-ctrl50_20250515-003153.339073105.inp	Focal Search with eps = 1.050000	62	30	56	0.000141	22	RRDRUULDDLLUUURRRDLLUL
4	50	NSQ-n4-ctrl50_20250515-003153.342353347.inp	PFS_PE with eps = 1.05; pFocal = 0.6, cBound = 2	71	30	82	0.000249	15	DLDRULLDDRULUUL
4	50	NSQ-n4-ctrl50_20250515-003153.342353347.inp	Probabilistic Focal Search with eps = 1.05; pFocal = 0.6	83	35	57	0.000186	15	DLDRULLDDRULUUL
4	50	NSQ-n4-ctrl50_20250515-003153.342353347.inp	PFS_VDMPE with eps = 1.05; pFocal = 0.6	81	34	34	0.000339	15	DLDRULLDDRULUUL
4	50	NSQ-n4-ctrl50_20250515-003153.342353347.inp	VDM's PE	101	46	33	0.000259	15	DLDRULLDDRULUUL
4	50	NSQ-n4-ctrl50_20250515-003153.342353347.inp	AStar with Partial Expansion with C = 2.000000	101	46	101	0.000272	15	DLDRULLDDRULUUL
4	50	NSQ-n4-ctrl50_20250515-003153.342353347.inp	Focal Search with eps = 1.050000	54	23	45	0.000139	15	DLDRULLDDRULUUL
4	50	NSQ-n4-ctrl50_20250515-003153.346011359.inp	PFS_PE with eps = 1.05; pFocal = 0.6, cBound = 2	27	11	28	0.000136	10	DDRRRULLLU
4	50	NSQ-n4-ctrl50_20250515-003153.346011359.inp	Probabilistic Focal Search with eps = 1.05; pFocal = 0.6	27	11	17	6.9e-05	10	DDRRRULLLU
4	50	NSQ-n4-ctrl50_20250515-003153.346011359.inp	PFS_VDMPE with eps = 1.05; pFocal = 0.6	27	11	11	0.000124	10	DDRRRULLLU
4	50	NSQ-n4-ctrl50_20250515-003153.346011359.inp	VDM's PE	27	11	10	7.5e-05	10	DDRRRULLLU
4	50	NSQ-n4-ctrl50_20250515-003153.346011359.inp	AStar with Partial Expansion with C = 2.000000	27	11	27	6.9e-05	10	DDRRRULLLU
4	50	NSQ-n4-ctrl50_20250515-003153.346011359.inp	Focal Search with eps = 1.050000	27	11	17	6.8e-05	10	DDRRRULLLU
4	50	NSQ-n4-ctrl50_20250515-003153.349150537.inp	PFS_PE with eps = 1.05; pFocal = 0.6, cBound = 2	29	13	30	0.000197	10	LDDLUURDLU
4	50	NSQ-n4-ctrl50_20250515-003153.349150537.inp	Probabilistic Focal Search with eps = 1.05; pFocal = 0.6	29	13	17	0.000114	10	LDDLUURDLU
4	50	NSQ-n4-ctrl50_20250515-003153.349150537.inp	PFS_VDMPE with eps = 1.05; pFocal = 0.6	29	13	11	0.000187	10	LDDLUURDLU
4	50	NSQ-n4-ctrl50_20250515-003153.349150537.inp	VDM's PE	29	13	10	0.000114	10	LDDLUURDLU
4	50	NSQ-n4-ctrl50_20250515-003153.349150537.inp	AStar with Partial Expansion with C = 2.000000	29	13	29	0.000125	10	LDDLUURDLU
4	50	NSQ-n4-ctrl50_20250515-003153.349150537.inp	Focal Search with eps = 1.050000	25	11	17	0.0001	10	LDDLUURDLU
4	50	NSQ-n4-ctrl50_20250515-003153.353274801.inp	PFS_PE with eps = 1.05; pFocal = 0.6, cBound = 2	40	19	47	0.000372	15	RUULULLDRDDLUUU
4	50	NSQ-n4-ctrl50_20250515-003153.353274801.inp	Probabilistic Focal Search with eps = 1.05; pFocal = 0.6	38	18	28	0.00021	15	RUULULLDRDDLUUU
4	50	NSQ-n4-ctrl50_20250515-003153.353274801.inp	PFS_VDMPE with eps = 1.05; pFocal = 0.6	50	23	20	0.000443	15	RUULULLDRDDLUUU
4	50	NSQ-n4-ctrl50_20250515-003153.353274801.inp	VDM's PE	70	33	21	0.000396	15	RUULULLDRDDLUUU
4	50	NSQ-n4-ctrl50_20250515-003153.353274801.inp	AStar with Partial Expansion with C = 2.000000	70	33	70	0.000382	15	RUULULLDRDDLUUU
4	50	NSQ-n4-ctrl50_20250515-003153.353274801.inp	Focal Search with eps = 1.050000	32	15	26	0.000175	15	RUULULLDRDDLUUU
